household_id,gender_household_head,age_household_head,caste_household,education_level_household_head,income_level_household,size_household,is_bank_account_present_in_household
1030101,Female,67.0,Chhetree,Other,Rs. 10 thousand,10.0,0.0
1030201,Male,51.0,Chhetree,Other,Rs. 10 thousand,7.0,0.0
1030301,Male,76.0,Chhetree,Other,Rs. 10 thousand,11.0,0.0
1030401,Male,36.0,Chhetree,Other,Rs. 10 thousand,7.0,0.0
1030501,Male,62.0,Chhetree,Other,Rs. 10-20 thousand,8.0,0.0
1030601,Female,49.0,Chhetree,Other,Rs. 10 thousand,2.0,0.0
1030701,Male,32.0,Chhetree,SLC or equivalent,Rs. 10-20 thousand,4.0,0.0
1030801,Female,43.0,Chhetree,Other,Rs. 10 thousand,4.0,0.0
1030802,Female,42.0,Chhetree,Other,Rs. 10-20 thousand,4.0,0.0
1030901,Male,63.0,Chhetree,Other,Rs. 10-20 thousand,13.0,0.0
1031001,Male,66.0,Magar,Illiterate,Rs. 10 thousand,2.0,0.0
1031101,Female,47.0,Chhetree,Class 5,Rs. 10-20 thousand,6.0,0.0
1031201,Male,37.0,Brahman-Hill,Intermediate or equivalent,Rs. 10-20 thousand,7.0,1.0
1031301,Male,32.0,Sunuwar,Illiterate,Rs. 10 thousand,6.0,0.0
1031401,Male,61.0,Tamang,Illiterate,Rs. 10 thousand,5.0,0.0
1031402,Female,22.0,Tamang,Class 2,Rs. 10-20 thousand,2.0,0.0
1031501,Male,60.0,Tamang,Illiterate,Rs. 10 thousand,4.0,0.0
1031601,Female,32.0,Tamang,Illiterate,Rs. 10 thousand,4.0,0.0
1031701,Male,39.0,Kami,Illiterate,Rs. 10 thousand,6.0,0.0
1031801,Female,72.0,Kami,Illiterate,Rs. 10-20 thousand,3.0,0.0
1031901,Male,66.0,Chhetree,Illiterate,Rs. 10 thousand,8.0,0.0
1032001,Male,70.0,Chhetree,Illiterate,Rs. 10 thousand,2.0,0.0
1032101,Male,55.0,Tamang,Illiterate,Rs. 10 thousand,7.0,0.0
1032201,Male,60.0,Kami,Illiterate,Rs. 10-20 thousand,5.0,0.0
1032301,Female,39.0,Magar,Illiterate,Rs. 10 thousand,7.0,0.0
1032401,Male,72.0,Magar,Class 2,Rs. 10-20 thousand,4.0,0.0
1032501,Female,34.0,Chhetree,Class 6,Rs. 10 thousand,2.0,1.0
1032601,Female,40.0,Kami,Class 3,Rs. 10 thousand,2.0,0.0
1032701,Male,51.0,Kami,Illiterate,Rs. 10 thousand,3.0,0.0
1032801,Female,19.0,Kami,Class 6,Rs. 20-30 thousand,3.0,0.0
1032901,Female,28.0,Kami,Class 4,Rs. 20-30 thousand,4.0,0.0
1033001,Female,41.0,Gurung,Class 10,Rs. 10 thousand,3.0,1.0
1033101,Female,27.0,Sunuwar,Class 2,Rs. 10 thousand,5.0,0.0
1033201,Male,39.0,Sunuwar,Class 8,Rs. 10 thousand,6.0,0.0
1033301,Male,67.0,Sunuwar,Illiterate,Rs. 10 thousand,2.0,0.0
1033401,Female,27.0,Sunuwar,Class 5,Rs. 10-20 thousand,4.0,0.0
1033501,Male,63.0,Sunuwar,Illiterate,Rs. 10-20 thousand,8.0,0.0
1033601,Male,54.0,Sunuwar,Illiterate,Rs. 20-30 thousand,6.0,0.0
1033701,Male,66.0,Sunuwar,Class 3,Rs. 10 thousand,5.0,0.0
1033801,Male,43.0,Sunuwar,Class 2,Rs. 10 thousand,8.0,0.0
1033901,Male,45.0,Sunuwar,Illiterate,Rs. 10-20 thousand,9.0,0.0
1034001,Male,54.0,Brahman-Hill,Non-formal education,Rs. 30-50 thousand,4.0,0.0
1034101,Female,76.0,Kami,Illiterate,Rs. 20-30 thousand,8.0,0.0
1034201,Male,52.0,Brahman-Hill,Non-formal education,Rs. 10-20 thousand,4.0,0.0
1034301,Male,74.0,Tamang,Illiterate,Rs. 20-30 thousand,12.0,0.0
1034401,Male,61.0,Tamang,Illiterate,Rs. 10-20 thousand,3.0,0.0
1034501,Female,33.0,Sunuwar,Non-formal education,Rs. 20-30 thousand,6.0,0.0
1034601,Male,49.0,Gurung,Class 10,Rs. 10-20 thousand,6.0,0.0
1034701,Female,35.0,Gurung,Non-formal education,Rs. 10-20 thousand,6.0,0.0
1034801,Male,85.0,Magar,Illiterate,Rs. 10 thousand,2.0,0.0
1034901,Male,49.0,Kami,Illiterate,Rs. 10 thousand,8.0,0.0
1035001,Female,68.0,Kami,Illiterate,Rs. 10 thousand,1.0,0.0
1035101,Male,32.0,Kami,Class 3,Rs. 10 thousand,5.0,0.0
1035201,Female,19.0,Kami,Class 8,Rs. 10 thousand,4.0,0.0
1035301,Male,50.0,Kami,Illiterate,Rs. 20-30 thousand,9.0,0.0
1035401,Male,53.0,Gurung,Class 5,Rs. 10 thousand,4.0,0.0
1035501,Male,52.0,Kami,Illiterate,Rs. 10-20 thousand,7.0,0.0
1035601,Male,47.0,Kami,Class 5,Rs. 10-20 thousand,6.0,0.0
1035701,Male,63.0,Kami,Illiterate,Rs. 10-20 thousand,5.0,0.0
1035801,Male,66.0,Brahman-Hill,Non-formal education,Rs. 20-30 thousand,6.0,0.0
1035901,Male,48.0,Brahman-Hill,Class 3,Rs. 10 thousand,3.0,1.0
1036001,Male,51.0,Brahman-Hill,Illiterate,Rs. 10-20 thousand,7.0,0.0
1036101,Female,33.0,Tamang,Illiterate,Rs. 10-20 thousand,4.0,0.0
1036201,Male,30.0,Damai/Dholi,Class 5,Rs. 10-20 thousand,6.0,0.0
1036301,Female,35.0,Kami,Class 1,Rs. 10 thousand,5.0,0.0
1036401,Female,59.0,Chhetree,Illiterate,Rs. 10 thousand,1.0,0.0
1036501,Female,31.0,Tamang,Illiterate,Rs. 10-20 thousand,6.0,0.0
1036601,Female,39.0,Damai/Dholi,Illiterate,Rs. 10 thousand,8.0,0.0
1036701,Male,26.0,Chhetree,Class 7,Rs. 10 thousand,5.0,0.0
1036801,Male,56.0,Brahman-Hill,Non-formal education,Rs. 10-20 thousand,4.0,0.0
1036901,Male,46.0,Damai/Dholi,Illiterate,Rs. 30-50 thousand,5.0,0.0
1037001,Male,30.0,Kami,Class 2,Rs. 10 thousand,4.0,0.0
1037101,Male,32.0,Damai/Dholi,Class 2,Rs. 10 thousand,6.0,0.0
1037201,Female,63.0,Damai/Dholi,Illiterate,Rs. 20-30 thousand,5.0,0.0
1037301,Male,35.0,Damai/Dholi,Illiterate,Rs. 10 thousand,6.0,0.0
1037401,Male,66.0,Kami,Illiterate,Rs. 10 thousand,4.0,0.0
1037402,Female,30.0,Kami,Illiterate,Rs. 10 thousand,4.0,0.0
1037403,Female,22.0,Kami,Class 10,Rs. 20-30 thousand,3.0,0.0
1037501,Male,52.0,Tamang,Non-formal education,Rs. 10-20 thousand,4.0,0.0
1037601,Male,35.0,Kami,Class 2,Rs. 10-20 thousand,4.0,0.0
1037701,Female,27.0,Damai/Dholi,Illiterate,Rs. 20-30 thousand,3.0,0.0
1037801,Female,72.0,Damai/Dholi,Illiterate,Rs. 20-30 thousand,5.0,0.0
1037901,Male,58.0,Brahman-Hill,Class 8,Rs. 20-30 thousand,5.0,1.0
1038001,Male,71.0,Magar,Illiterate,Rs. 10-20 thousand,2.0,0.0
1038101,Male,52.0,Brahman-Hill,SLC or equivalent,Rs. 10-20 thousand,5.0,0.0
1038201,Male,33.0,Brahman-Hill,Intermediate or equivalent,Rs. 10-20 thousand,9.0,0.0
1038301,Male,40.0,Damai/Dholi,Illiterate,Rs. 10-20 thousand,4.0,0.0
1038401,Male,58.0,Damai/Dholi,Non-formal education,Rs. 10-20 thousand,4.0,0.0
1038501,Male,37.0,Damai/Dholi,Non-formal education,Rs. 10-20 thousand,5.0,0.0
1038601,Male,35.0,Kami,Class 5,Rs. 10-20 thousand,4.0,0.0
1038701,Male,50.0,Damai/Dholi,Non-formal education,Rs. 10-20 thousand,10.0,0.0
1038801,Female,27.0,Damai/Dholi,Non-formal education,Rs. 20-30 thousand,4.0,0.0
1038901,Male,53.0,Damai/Dholi,Illiterate,Rs. 10 thousand,3.0,0.0
1039001,Male,44.0,Damai/Dholi,Class 1,Rs. 10-20 thousand,7.0,0.0
1039101,Male,32.0,Damai/Dholi,Illiterate,Rs. 10-20 thousand,8.0,0.0
1039201,Male,34.0,Damai/Dholi,Class 3,Rs. 10-20 thousand,7.0,0.0
1039301,Male,70.0,Damai/Dholi,Illiterate,Rs. 20-30 thousand,7.0,0.0
1039401,Male,48.0,Damai/Dholi,Illiterate,Rs. 10-20 thousand,7.0,0.0
1039501,Male,60.0,Damai/Dholi,Illiterate,Rs. 10-20 thousand,5.0,0.0
1039601,Male,52.0,Damai/Dholi,Class 4,Rs. 10-20 thousand,5.0,0.0
1039701,Male,47.0,Damai/Dholi,Illiterate,Rs. 10-20 thousand,3.0,0.0
1039801,Male,51.0,Damai/Dholi,Illiterate,Rs. 10-20 thousand,5.0,0.0
1039901,Female,43.0,Magar,Illiterate,Rs. 20-30 thousand,7.0,0.0
1040001,Male,55.0,Magar,Non-formal education,Rs. 50 thousand or more,10.0,1.0
1040101,Female,43.0,Magar,Non-formal education,Rs. 10-20 thousand,5.0,0.0
1040201,Male,57.0,Magar,Non-formal education,Rs. 10-20 thousand,4.0,0.0
1040301,Male,53.0,Magar,Class 9,Rs. 10-20 thousand,4.0,0.0
1040401,Male,61.0,Magar,Illiterate,Rs. 10-20 thousand,4.0,0.0
1040501,Male,27.0,Kami,Class 5,Rs. 20-30 thousand,6.0,0.0
1040601,Male,44.0,Brahman-Hill,Class 8,Rs. 10-20 thousand,5.0,0.0
1040701,Male,66.0,Brahman-Hill,Class 9,Rs. 10-20 thousand,6.0,0.0
1040801,Female,36.0,Magar,Illiterate,Rs. 10-20 thousand,7.0,0.0
1040901,Male,50.0,Brahman-Hill,Class 8,Rs. 10-20 thousand,2.0,0.0
1041001,Female,75.0,Brahman-Hill,Illiterate,Rs. 10-20 thousand,6.0,0.0
1041101,Male,66.0,Brahman-Hill,Class 2,Rs. 10-20 thousand,3.0,0.0
1041201,Male,79.0,Magar,Illiterate,Rs. 10-20 thousand,6.0,0.0
1041301,Female,70.0,Magar,Non-formal education,Rs. 10-20 thousand,4.0,0.0
1041401,Male,56.0,Magar,Illiterate,Rs. 20-30 thousand,8.0,0.0
1041501,Male,26.0,Tamang,Class 3,Rs. 10-20 thousand,4.0,0.0
1041601,Male,20.0,Tamang,Class 5,Rs. 10-20 thousand,4.0,0.0
1041701,Female,71.0,Magar,Illiterate,Rs. 30-50 thousand,16.0,0.0
1041801,Male,71.0,Magar,Illiterate,Rs. 10-20 thousand,12.0,0.0
1041901,Female,50.0,Magar,Illiterate,Rs. 10-20 thousand,5.0,0.0
1042001,Female,67.0,Magar,Illiterate,Rs. 10 thousand,1.0,0.0
1042101,Male,53.0,Magar,Illiterate,Rs. 10 thousand,5.0,0.0
1042201,Male,48.0,Magar,Illiterate,Rs. 10-20 thousand,6.0,0.0
1042301,Female,66.0,Tamang,Illiterate,Rs. 10-20 thousand,1.0,1.0
1042302,Male,33.0,Tamang,Bachelors or equivalent,Rs. 10-20 thousand,5.0,1.0
1042401,Female,60.0,Magar,Illiterate,Rs. 10 thousand,1.0,0.0
1042501,Male,62.0,Magar,Class 1,Rs. 10 thousand,6.0,0.0
1042601,Male,31.0,Magar,Illiterate,Rs. 10 thousand,4.0,0.0
1042701,Male,56.0,Damai/Dholi,Illiterate,Rs. 10-20 thousand,5.0,0.0
1042801,Female,27.0,Damai/Dholi,Intermediate or equivalent,Rs. 20-30 thousand,3.0,0.0
1042901,Male,71.0,Chhetree,Illiterate,Rs. 10-20 thousand,3.0,0.0
1043001,Male,62.0,Chhetree,Class 5,Rs. 20-30 thousand,6.0,1.0
1043101,Male,69.0,Chhetree,Non-formal education,Rs. 30-50 thousand,8.0,1.0
1043201,Female,32.0,Tamang,Illiterate,Rs. 10-20 thousand,3.0,0.0
1043301,Male,39.0,Gharti/Bhujel,Class 5,Rs. 10 thousand,4.0,0.0
1043401,Male,40.0,Chhetree,Illiterate,Rs. 10 thousand,4.0,0.0
1043501,Male,30.0,Chhetree,Intermediate or equivalent,Rs. 10 thousand,5.0,0.0
1043601,Male,42.0,Brahman-Hill,Class 8,Rs. 10 thousand,3.0,0.0
1043701,Male,63.0,Brahman-Hill,Illiterate,Rs. 10 thousand,5.0,0.0
1043801,Male,60.0,Chhetree,Class 3,Rs. 10 thousand,5.0,0.0
1043901,Male,32.0,Chhetree,Class 5,Rs. 10 thousand,5.0,0.0
1044001,Male,54.0,Chhetree,Non-formal education,Rs. 10 thousand,4.0,1.0
1044101,Male,61.0,Chhetree,Class 5,Rs. 10 thousand,6.0,0.0
1044201,Female,40.0,Chhetree,Class 4,Rs. 10 thousand,5.0,0.0
1044301,Male,55.0,Chhetree,Intermediate or equivalent,Rs. 10 thousand,6.0,0.0
1044401,Female,31.0,Chhetree,Illiterate,Rs. 10 thousand,5.0,0.0
1044501,Male,71.0,Chhetree,Class 5,Rs. 10-20 thousand,2.0,0.0
1044601,Male,41.0,Chhetree,Illiterate,Rs. 10 thousand,4.0,0.0
1044701,Female,43.0,Chhetree,Illiterate,Rs. 10 thousand,6.0,0.0
1044801,Male,48.0,Chhetree,Intermediate or equivalent,Rs. 10-20 thousand,3.0,0.0
1044901,Male,54.0,Chhetree,Class 9,Rs. 10 thousand,2.0,0.0
1045001,Female,49.0,Chhetree,Non-formal education,Rs. 10 thousand,3.0,0.0
1045101,Male,25.0,Chhetree,Intermediate or equivalent,Rs. 10 thousand,3.0,0.0
1045201,Male,63.0,Chhetree,Illiterate,Rs. 10 thousand,5.0,0.0
1045301,Female,28.0,Chhetree,Intermediate or equivalent,Rs. 10 thousand,4.0,0.0
1045401,Male,53.0,Chhetree,Class 10,Rs. 10 thousand,5.0,0.0
1045501,Male,24.0,Chhetree,Class 9,Rs. 10 thousand,3.0,0.0
1045601,Male,54.0,Chhetree,Class 3,Rs. 10 thousand,7.0,0.0
1045701,Male,26.0,Chhetree,Class 9,Rs. 10 thousand,3.0,0.0
1045801,Male,61.0,Chhetree,Class 5,Rs. 10 thousand,5.0,0.0
1045901,Male,27.0,Chhetree,Intermediate or equivalent,Rs. 10-20 thousand,4.0,0.0
1046001,Male,59.0,Chhetree,Illiterate,Rs. 10 thousand,4.0,0.0
1046101,Female,25.0,Chhetree,Class 10,Rs. 10-20 thousand,3.0,0.0
1046201,Male,44.0,Chhetree,Class 5,Rs. 10-20 thousand,4.0,1.0
1046301,Male,62.0,Brahman-Hill,Non-formal education,Rs. 10 thousand,5.0,0.0
1046401,Male,38.0,Brahman-Hill,Class 4,Rs. 10 thousand,6.0,0.0
1046501,Male,33.0,Brahman-Hill,Class 10,Rs. 10 thousand,5.0,0.0
1046601,Male,54.0,Brahman-Hill,Masters or equivalent,Rs. 10-20 thousand,6.0,1.0
1046701,Male,73.0,Brahman-Hill,Non-formal education,Rs. 10 thousand,2.0,1.0
1046801,Female,31.0,Brahman-Hill,Class 7,Rs. 10-20 thousand,4.0,0.0
1046901,Male,34.0,Chhetree,Class 8,Rs. 10-20 thousand,4.0,1.0
1047001,Female,31.0,Chhetree,Class 10,Rs. 10-20 thousand,4.0,1.0
1047101,Male,41.0,Chhetree,Class 5,Rs. 10 thousand,4.0,0.0
1047201,Male,68.0,Chhetree,Class 2,Rs. 10-20 thousand,2.0,0.0
1047301,Female,29.0,Chhetree,Illiterate,Rs. 10 thousand,3.0,0.0
1047401,Male,41.0,Chhetree,Intermediate or equivalent,Rs. 10 thousand,5.0,0.0
1047501,Male,82.0,Chhetree,Illiterate,Rs. 10 thousand,2.0,0.0
1047601,Male,44.0,Chhetree,SLC or equivalent,Rs. 10 thousand,5.0,1.0
1047701,Male,62.0,Brahman-Hill,Class 5,Rs. 10-20 thousand,6.0,1.0
1047801,Male,78.0,Brahman-Hill,Illiterate,Rs. 10 thousand,2.0,0.0
1047901,Female,35.0,Brahman-Hill,Intermediate or equivalent,Rs. 20-30 thousand,4.0,1.0
1048001,Female,46.0,Brahman-Hill,Non-formal education,Rs. 10 thousand,5.0,0.0
1048101,Male,52.0,Brahman-Hill,Intermediate or equivalent,Rs. 10-20 thousand,6.0,1.0
1048201,Male,51.0,Brahman-Hill,Bachelors or equivalent,Rs. 10-20 thousand,4.0,1.0
1048301,Male,54.0,Chhetree,Illiterate,Rs. 10 thousand,5.0,0.0
1048401,Male,61.0,Brahman-Hill,Class 10,Rs. 20-30 thousand,4.0,0.0
1048501,Male,48.0,Brahman-Hill,Masters or equivalent,Rs. 20-30 thousand,5.0,1.0
1048601,Male,54.0,Brahman-Hill,Class 3,Rs. 10 thousand,4.0,0.0
1048701,Male,35.0,Brahman-Hill,Intermediate or equivalent,Rs. 10 thousand,4.0,1.0
1048801,Male,61.0,Brahman-Hill,Illiterate,Rs. 10 thousand,14.0,0.0
1048901,Male,82.0,Brahman-Hill,Non-formal education,Rs. 10 thousand,5.0,1.0
1049001,Male,50.0,Chhetree,SLC or equivalent,Rs. 10-20 thousand,3.0,0.0
1049101,Male,66.0,Brahman-Hill,Class 5,Rs. 10 thousand,2.0,0.0
1049201,Male,51.0,Chhetree,Class 10,Rs. 10-20 thousand,5.0,1.0
1049301,Female,63.0,Chhetree,Illiterate,Rs. 10 thousand,4.0,0.0
1049401,Male,46.0,Chhetree,Class 8,Rs. 10 thousand,5.0,1.0
1049501,Male,66.0,Brahman-Hill,Class 3,Rs. 10 thousand,6.0,0.0
1049601,Male,33.0,Brahman-Hill,Intermediate or equivalent,Rs. 30-50 thousand,4.0,1.0
1049701,Male,58.0,Brahman-Hill,Class 5,Rs. 10 thousand,6.0,0.0
1049801,Male,55.0,Brahman-Hill,Illiterate,Rs. 10 thousand,5.0,0.0
1049901,Male,44.0,Brahman-Hill,Masters or equivalent,Rs. 30-50 thousand,7.0,1.0
1050001,Male,30.0,Brahman-Hill,Intermediate or equivalent,Rs. 10-20 thousand,7.0,0.0
1050101,Female,51.0,Chhetree,Illiterate,Rs. 30-50 thousand,5.0,1.0
1050201,Female,53.0,Chhetree,Illiterate,Rs. 10 thousand,5.0,1.0
1050301,Male,62.0,Brahman-Hill,Class 2,Rs. 10 thousand,5.0,0.0
1050401,Female,73.0,Brahman-Hill,Illiterate,Rs. 10-20 thousand,3.0,0.0
1050501,Male,49.0,Brahman-Hill,Class 9,Rs. 10-20 thousand,4.0,1.0
1050601,Male,50.0,Gharti/Bhujel,Class 9,Rs. 10-20 thousand,5.0,1.0
1050701,Male,41.0,Brahman-Hill,Class 7,Rs. 10 thousand,5.0,0.0
1050801,Male,49.0,Brahman-Hill,Intermediate or equivalent,Rs. 30-50 thousand,6.0,1.0
1050901,Male,38.0,Chhetree,Class 10,Rs. 10 thousand,5.0,0.0
1051001,Male,34.0,Brahman-Hill,Class 8,Rs. 10 thousand,6.0,0.0
1051101,Male,64.0,Brahman-Hill,SLC or equivalent,Rs. 10-20 thousand,4.0,1.0
1051201,Female,75.0,Chhetree,Illiterate,Rs. 10 thousand,1.0,1.0
1051301,Male,61.0,Brahman-Hill,SLC or equivalent,Rs. 20-30 thousand,11.0,1.0
1051401,Male,60.0,Brahman-Hill,SLC or equivalent,Rs. 20-30 thousand,8.0,1.0
1051501,Female,29.0,Chhetree,Illiterate,Rs. 10-20 thousand,4.0,1.0
1051601,Male,50.0,Brahman-Hill,Masters or equivalent,Rs. 10-20 thousand,4.0,1.0
1051701,Male,29.0,Chhetree,Class 9,Rs. 10-20 thousand,4.0,1.0
1051801,Male,71.0,Brahman-Hill,Non-formal education,Rs. 10-20 thousand,6.0,1.0
1051901,Male,60.0,Brahman-Hill,Class 3,Rs. 10-20 thousand,9.0,1.0
1052001,Male,44.0,Brahman-Hill,Bachelors or equivalent,Rs. 30-50 thousand,5.0,1.0
1052101,Female,61.0,Brahman-Hill,Class 4,Rs. 20-30 thousand,4.0,1.0
1052201,Male,65.0,Brahman-Hill,Illiterate,Rs. 10-20 thousand,5.0,1.0
1052301,Male,59.0,Brahman-Hill,Illiterate,Rs. 10 thousand,8.0,0.0
1052401,Male,48.0,Brahman-Hill,Class 8,Rs. 10-20 thousand,5.0,1.0
1052501,Male,56.0,Brahman-Hill,Class 4,Rs. 10 thousand,3.0,0.0
1052601,Male,71.0,Brahman-Hill,Class 5,Rs. 10 thousand,2.0,0.0
1052701,Male,55.0,Brahman-Hill,Class 4,Rs. 10 thousand,6.0,0.0
1052801,Male,50.0,Brahman-Hill,Class 8,Rs. 10-20 thousand,7.0,0.0
1052901,Male,37.0,Brahman-Hill,Intermediate or equivalent,Rs. 10 thousand,7.0,0.0
1053001,Male,37.0,Brahman-Hill,SLC or equivalent,Rs. 10-20 thousand,5.0,0.0
1053002,Female,23.0,0thers,Intermediate or equivalent,Rs. 10 thousand,1.0,1.0
1053101,Male,40.0,Brahman-Hill,SLC or equivalent,Rs. 10-20 thousand,6.0,0.0
1053201,Male,49.0,Brahman-Hill,Class 5,Rs. 10 thousand,6.0,0.0
1053301,Female,42.0,Brahman-Hill,Non-formal education,Rs. 10 thousand,4.0,0.0
1053401,Male,61.0,Chhetree,Class 5,Rs. 20-30 thousand,7.0,0.0
1053501,Female,64.0,Brahman-Hill,Illiterate,Rs. 10-20 thousand,3.0,0.0
1053601,Male,44.0,Brahman-Hill,Intermediate or equivalent,Rs. 10-20 thousand,5.0,1.0
1053701,Male,64.0,Chhetree,Illiterate,Rs. 10 thousand,2.0,0.0
1053801,Male,39.0,Brahman-Hill,Class 10,Rs. 10-20 thousand,4.0,0.0
1053901,Male,66.0,Brahman-Hill,Illiterate,Rs. 10 thousand,5.0,0.0
1054001,Male,58.0,Brahman-Hill,Class 8,Rs. 10 thousand,8.0,0.0
1054101,Male,37.0,Brahman-Hill,Class 4,Rs. 10 thousand,5.0,1.0
1054201,Female,40.0,Brahman-Hill,Class 5,Rs. 20-30 thousand,6.0,1.0
1054301,Male,57.0,Brahman-Hill,SLC or equivalent,Rs. 10-20 thousand,6.0,1.0
1054401,Female,48.0,Brahman-Hill,Non-formal education,Rs. 10 thousand,4.0,0.0
1054501,Male,41.0,Brahman-Hill,Masters or equivalent,Rs. 20-30 thousand,7.0,1.0
1054601,Female,59.0,Brahman-Hill,Illiterate,Rs. 10-20 thousand,4.0,0.0
1054701,Male,54.0,Brahman-Hill,SLC or equivalent,Rs. 20-30 thousand,9.0,0.0
1054801,Male,51.0,Brahman-Hill,SLC or equivalent,Rs. 10-20 thousand,4.0,1.0
1054802,Male,40.0,Chhetree,Masters or equivalent,Rs. 10-20 thousand,1.0,1.0
1054901,Male,58.0,Brahman-Hill,Bachelors or equivalent,Rs. 10 thousand,2.0,0.0
1055001,Male,71.0,Tamang,Illiterate,Rs. 10 thousand,5.0,0.0
1055101,Male,72.0,Magar,Illiterate,Rs. 10 thousand,7.0,0.0
1055201,Male,34.0,Magar,Class 10,Rs. 10 thousand,4.0,0.0
1055301,Female,46.0,Magar,Illiterate,Rs. 10 thousand,4.0,0.0
1055401,Female,62.0,Magar,Non-formal education,Rs. 10 thousand,1.0,0.0
1055501,Female,65.0,Brahman-Hill,Non-formal education,Rs. 10 thousand,1.0,1.0
1055601,Female,47.0,Tamang,Illiterate,Rs. 10 thousand,5.0,0.0
1055701,Male,43.0,Tamang,Illiterate,Rs. 10-20 thousand,6.0,0.0
1055801,Male,71.0,Kami,Illiterate,Rs. 10 thousand,4.0,0.0
1055901,Male,36.0,Brahman-Hill,Class 6,Rs. 10 thousand,6.0,0.0
1056001,Female,39.0,Brahman-Hill,Non-formal education,Rs. 10-20 thousand,6.0,0.0
1056101,Male,54.0,Brahman-Hill,Class 3,Rs. 10 thousand,5.0,0.0
1056201,Female,33.0,Brahman-Hill,Class 7,Rs. 30-50 thousand,4.0,1.0
1056301,Male,48.0,Brahman-Hill,Illiterate,Rs. 10-20 thousand,4.0,0.0
1056401,Male,53.0,Kami,Class 3,Rs. 10 thousand,5.0,0.0
1056501,Female,39.0,Kami,Non-formal education,Rs. 10 thousand,3.0,0.0
1056601,Male,79.0,Kami,Illiterate,Rs. 10 thousand,1.0,0.0
1056701,Male,58.0,Damai/Dholi,Illiterate,Rs. 10-20 thousand,6.0,0.0
1056801,Male,39.0,Tamang,Class 8,Rs. 10-20 thousand,5.0,1.0
1056901,Female,21.0,Brahman-Hill,Intermediate or equivalent,Rs. 20-30 thousand,3.0,0.0
1057001,Female,84.0,Brahman-Hill,Illiterate,Rs. 10 thousand,1.0,0.0
1057101,Female,78.0,Gharti/Bhujel,Illiterate,Rs. 10 thousand,1.0,0.0
1057201,Male,22.0,Gharti/Bhujel,SLC or equivalent,Rs. 10-20 thousand,3.0,1.0
1057301,Male,51.0,Brahman-Hill,Class 10,Rs. 10 thousand,7.0,1.0
1057401,Female,46.0,Brahman-Hill,Non-formal education,Rs. 10 thousand,6.0,1.0
1057501,Male,71.0,Brahman-Hill,Non-formal education,Rs. 10 thousand,7.0,0.0
1057601,Female,63.0,Chhetree,Illiterate,Rs. 10 thousand,1.0,0.0
1057701,Male,28.0,Tamang,Class 9,Rs. 10-20 thousand,4.0,0.0
1057801,Male,57.0,Tamang,Non-formal education,Rs. 10 thousand,6.0,0.0
1057901,Male,51.0,Tamang,Illiterate,Rs. 10 thousand,2.0,0.0
1058001,Male,42.0,Tamang,Non-formal education,Rs. 10 thousand,6.0,0.0
1058101,Male,52.0,Rai,Class 7,Rs. 10 thousand,14.0,0.0
1058201,Male,23.0,Tamang,Class 8,Rs. 10 thousand,3.0,0.0
1058202,Male,20.0,Tamang,Class 7,Rs. 10 thousand,3.0,0.0
1058301,Male,45.0,Brahman-Hill,Non-formal education,Rs. 10 thousand,4.0,1.0
1058401,Male,80.0,Brahman-Hill,Illiterate,Rs. 10 thousand,3.0,0.0
1058501,Male,54.0,Brahman-Hill,Non-formal education,Rs. 10 thousand,7.0,0.0
1058601,Male,66.0,Brahman-Hill,Non-formal education,Rs. 10 thousand,7.0,0.0
1058701,Male,44.0,Chhetree,Non-formal education,Rs. 10-20 thousand,5.0,1.0
1058801,Male,62.0,Brahman-Hill,Class 4,Rs. 10 thousand,5.0,0.0
1058901,Male,64.0,Brahman-Hill,Non-formal education,Rs. 10 thousand,6.0,1.0
1059001,Male,36.0,Brahman-Hill,Intermediate or equivalent,Rs. 20-30 thousand,5.0,1.0
1059101,Female,36.0,Chhetree,Bachelors or equivalent,Rs. 20-30 thousand,2.0,1.0
1059201,Male,76.0,Brahman-Hill,Illiterate,Rs. 10-20 thousand,8.0,0.0
1059301,Male,54.0,Tamang,Non-formal education,Rs. 10-20 thousand,9.0,0.0
1059401,Male,65.0,Brahman-Hill,SLC or equivalent,Rs. 10-20 thousand,5.0,1.0
1059501,Male,59.0,Brahman-Hill,Non-formal education,Rs. 10-20 thousand,7.0,0.0
1059601,Male,43.0,Chhetree,Class 8,Rs. 10-20 thousand,6.0,0.0
1059701,Male,28.0,Brahman-Hill,Intermediate or equivalent,Rs. 10 thousand,5.0,1.0
1059801,Male,60.0,Brahman-Hill,Illiterate,Rs. 10 thousand,6.0,0.0
1059901,Male,44.0,Brahman-Hill,Class 10,Rs. 50 thousand or more,4.0,1.0
1060001,Female,66.0,Brahman-Hill,Illiterate,Rs. 10 thousand,5.0,0.0
1060101,Male,26.0,Tamang,SLC or equivalent,Rs. 10-20 thousand,4.0,1.0
1060201,Male,38.0,Chhetree,Class 10,Rs. 10 thousand,5.0,1.0
1060301,Male,53.0,Brahman-Hill,Non-formal education,Rs. 10 thousand,7.0,0.0
1060401,Female,37.0,Brahman-Hill,Illiterate,Rs. 10 thousand,13.0,0.0
1060501,Male,51.0,Brahman-Hill,Non-formal education,Rs. 10 thousand,11.0,0.0
1060601,Male,70.0,Brahman-Hill,Illiterate,Rs. 10 thousand,10.0,0.0
